Program Started
AES		 , nan		 ,  0		 ,   0FFT		 , nan		 ,  0		 ,   2SHA		 , nan		 ,  0		 ,   0BFS		 , nan		 ,  0		 ,   2KMP		 ,
Program Started
AES		 , nan		 ,  0		 ,   0FFT		 , nan		 ,  0		 ,   2SHA		 , nan		 ,  0		 ,   0BFS		 , nan		 ,  0		 ,   2KMP		 , nan		 ,  0		 ,   0GEMM		 , nan		 ,  0		 ,   3SORT		 , nan		 ,  0		 ,   0SPMV		 , nan		 ,  0		 ,   1
AES		 , 0.941		 , 32		 ,  15FFT		 , 2.679		 , 15		 ,  25SHA		 , 1.513		 , 15		 ,  14BFS		 , 1.134		 ,  3		 ,  23KMP		 , 1.191		 , 21		 ,  12GEMM		 , 2.471		 ,  3		 ,  18SORT		 , 0.941		 , 32		 ,  17SPMV		 , 1.471		 , 10		 ,  20
AES		 , 1.222		 , 44		 ,  15FFT		 , 2.530		 , 15		 ,  28SHA		 , 1.429		 , 15		 ,  14BFS		 , 1.071		 ,  3		 ,  24KMP		 , 1.125		 , 21		 ,  14GEMM		 , 2.333		 ,  3		 ,  19SORT		 , 0.889		 , 32		 ,  18SPMV		 , 1.389		 , 10		 ,  20
AES		 , 1.158		 , 44		 ,  17FFT		 , 2.397		 , 15		 ,  29SHA		 , 1.353		 , 15		 ,  15BFS		 , 1.015		 ,  3		 ,  25KMP		 , 1.370		 , 27		 ,  16GEMM		 , 2.211		 ,  3		 ,  20SORT		 , 0.895		 , 34		 ,  18SPMV		 , 1.316		 , 10		 ,  20
AES		 , 1.400		 , 56		 ,  19FFT		 , 2.277		 , 15		 ,  30SHA		 , 1.286		 , 15		 ,  16BFS		 , 0.964		 ,  3		 ,  26KMP		 , 1.302		 , 27		 ,  17GEMM		 , 2.100		 ,  3		 ,  21SORT		 , 0.850		 , 34		 ,  18SPMV		 , 1.250		 , 10		 ,  21
AES		 , 1.333		 , 56		 ,  20FFT		 , 2.168		 , 15		 ,  30SHA		 , 1.224		 , 15		 ,  18BFS		 , 1.224		 ,  4		 ,  26KMP		 , 1.378		 , 30		 ,  19GEMM		 , 2.000		 ,  3		 ,  23SORT		 , 0.810		 , 34		 ,  18SPMV		 , 1.429		 , 12		 ,  22
AES		 , 1.364		 , 60		 ,  21FFT		 , 2.070		 , 15		 ,  32SHA		 , 1.403		 , 18		 ,  18BFS		 , 1.169		 ,  4		 ,  27KMP		 , 1.446		 , 33		 ,  19GEMM		 , 1.909		 ,  3		 ,  26SORT		 , 0.773		 , 34		 ,  19SPMV		 , 1.364		 , 12		 ,  22
AES		 , 1.391		 , 64		 ,  22FFT		 , 1.980		 , 15		 ,  34SHA		 , 1.342		 , 18		 ,  19BFS		 , 1.118		 ,  4		 ,  28KMP		 , 1.384		 , 33		 ,  20GEMM		 , 2.435		 ,  4		 ,  27SORT		 , 0.783		 , 36		 ,  19SPMV		 , 1.304		 , 12		 ,  23
AES		 , 1.417		 , 68		 ,  25FFT		 , 1.897		 , 15		 ,  34SHA		 , 1.286		 , 18		 ,  19BFS		 , 1.071		 ,  4		 ,  29KMP		 , 1.326		 , 33		 ,  21GEMM		 , 2.333		 ,  4		 ,  28SORT		 , 0.750		 , 36		 ,  21SPMV		 , 1.667		 , 16		 ,  23
AES		 , 1.440		 , 72		 ,  26FFT		 , 1.821		 , 15		 ,  34SHA		 , 1.234		 , 18		 ,  20BFS		 , 1.029		 ,  4		 ,  29KMP		 , 1.273		 , 33		 ,  24GEMM		 , 2.240		 ,  4		 ,  28SORT		 , 0.800		 , 40		 ,  24SPMV		 , 1.600		 , 16		 ,  23

Program Finished
