
Program Started
AES		 , nan		 ,  0		 ,   1FFT		 , nan		 ,  0		 ,   1SHA		 , nan		 ,  0		 ,   1BFS		 , nan		 ,  0		 ,   1KMP		 , nan		 ,  0		 ,   1GEMM		 , nan		 ,  0		 ,   1SORT		 , nan		 ,  0		 ,   1SPMV		 , nan		 ,  0		 ,   1
AES		 , 0.000		 ,  0		 ,  19FFT		 , 1.889		 ,  2		 ,  19SHA		 , 0.000		 ,  0		 ,  19BFS		 , 0.000		 ,  0		 ,  19KMP		 , 0.000		 ,  0		 ,  19GEMM		 , 0.000		 ,  0		 ,  19SORT		 , 0.000		 ,  0		 ,  19SPMV		 , 0.000		 ,  0		 ,  19
AES		 , 0.000		 ,  0		 ,  20FFT		 , 1.789		 ,  2		 ,  20SHA		 , 0.000		 ,  0		 ,  20BFS		 , 0.000		 ,  0		 ,  20KMP		 , 0.000		 ,  0		 ,  20GEMM		 , 0.000		 ,  0		 ,  20SORT		 , 0.000		 ,  0		 ,  20SPMV		 , 0.000		 ,  0		 ,  20
AES		 , 0.000		 ,  0		 ,  21FFT		 , 1.700		 ,  2		 ,  21SHA		 , 0.000		 ,  0		 ,  21BFS		 , 0.000		 ,  0		 ,  21KMP		 , 0.000		 ,  0		 ,  21GEMM		 , 0.000		 ,  0		 ,  21SORT		 , 0.000		 ,  0		 ,  21SPMV		 , 0.000		 ,  0		 ,  21
AES		 , 0.000		 ,  0		 ,  22FFT		 , 1.619		 ,  2		 ,  22SHA		 , 0.000		 ,  0		 ,  22BFS		 , 0.000		 ,  0		 ,  22KMP		 , 0.000		 ,  0		 ,  22GEMM		 , 0.000		 ,  0		 ,  22SORT		 , 0.000		 ,  0		 ,  22SPMV		 , 0.000		 ,  0		 ,  22
AES		 , 0.000		 ,  0		 ,  23FFT		 , 1.545		 ,  2		 ,  23SHA		 , 0.000		 ,  0		 ,  23BFS		 , 0.000		 ,  0		 ,  23KMP		 , 0.000		 ,  0		 ,  23GEMM		 , 0.000		 ,  0		 ,  23SORT		 , 0.000		 ,  0		 ,  23SPMV		 , 0.000		 ,  0		 ,  23
AES		 , 0.000		 ,  0		 ,  24FFT		 , 1.478		 ,  2		 ,  24SHA		 , 0.000		 ,  0		 ,  24BFS		 , 0.000		 ,  0		 ,  24KMP		 , 0.000		 ,  0		 ,  24GEMM		 , 0.000		 ,  0		 ,  24SORT		 , 0.000		 ,  0		 ,  24SPMV		 , 0.000		 ,  0		 ,  24
AES		 , 0.000		 ,  0		 ,  25FFT		 , 1.417		 ,  2		 ,  25SHA		 , 0.000		 ,  0		 ,  25BFS		 , 0.000		 ,  0		 ,  25KMP		 , 0.000		 ,  0		 ,  25GEMM		 , 0.000		 ,  0		 ,  25SORT		 , 0.000		 ,  0		 ,  25SPMV		 , 0.000		 ,  0		 ,  25
AES		 , 0.000		 ,  0		 ,  26FFT		 , 1.360		 ,  2		 ,  26SHA		 , 0.000		 ,  0		 ,  26BFS		 , 0.000		 ,  0		 ,  26KMP		 , 0.000		 ,  0		 ,  26GEMM		 , 0.000		 ,  0		 ,  26SORT		 , 0.000		 ,  0		 ,  26SPMV		 , 0.000		 ,  0		 ,  26
AES		 , 0.000		 ,  0		 ,  27FFT		 , 1.308		 ,  2		 ,  27SHA		 , 0.000		 ,  0		 ,  27BFS		 , 0.000		 ,  0		 ,  27KMP		 , 0.000		 ,  0		 ,  27GEMM		 , 0.000		 ,  0		 ,  27SORT		 , 0.000		 ,  0		 ,  27SPMV		 , 0.000		 ,  0		 ,  27
AES		 , 0.000		 ,  0		 ,  28FFT		 , 1.259		 ,  2		 ,  28SHA		 , 0.000		 ,  0		 ,  28BFS		 , 0.000		 ,  0		 ,  28KMP		 , 0.000		 ,  0		 ,  28GEMM		 , 0.000		 ,  0		 ,  28SORT		 , 0.000		 ,  0		 ,  28SPMV		 , 0.000		 ,  0		 ,  28
AES		 , 0.000		 ,  0		 ,  29FFT		 , 1.214		 ,  2		 ,  29SHA		 , 0.000		 ,  0		 ,  29BFS		 , 0.000		 ,  0		 ,  29KMP		 , 0.000		 ,  0		 ,  29GEMM		 , 0.000		 ,  0		 ,  29SORT		 , 0.000		 ,  0		 ,  29SPMV		 , 0.000		 ,  0		 ,  29
AES		 , 0.000		 ,  0		 ,  30FFT		 , 1.759		 ,  3		 ,  30SHA		 , 0.000		 ,  0		 ,  30BFS		 , 0.000		 ,  0		 ,  30KMP		 , 0.000		 ,  0		 ,  30GEMM		 , 0.000		 ,  0		 ,  30SORT		 , 0.000		 ,  0		 ,  30SPMV		 , 0.000		 ,  0		 ,  30
AES		 , 0.000		 ,  0		 ,  31FFT		 , 1.700		 ,  3		 ,  31SHA		 , 0.000		 ,  0		 ,  31BFS		 , 0.000		 ,  0		 ,  31KMP		 , 0.000		 ,  0		 ,  31GEMM		 , 0.000		 ,  0		 ,  31SORT		 , 0.000		 ,  0		 ,  31SPMV		 , 0.000		 ,  0		 ,  31
AES		 , 0.000		 ,  0		 ,  32FFT		 , 1.645		 ,  3		 ,  32SHA		 , 0.000		 ,  0		 ,  32BFS		 , 0.000		 ,  0		 ,  32KMP		 , 0.000		 ,  0		 ,  32GEMM		 , 0.000		 ,  0		 ,  32SORT		 , 0.000		 ,  0		 ,  32SPMV		 , 0.000		 ,  0		 ,  32
AES		 , 0.000		 ,  0		 ,  33FFT		 , 1.594		 ,  3		 ,  33SHA		 , 0.000		 ,  0		 ,  33BFS		 , 0.000		 ,  0		 ,  33KMP		 , 0.000		 ,  0		 ,  33GEMM		 , 0.000		 ,  0		 ,  33SORT		 , 0.000		 ,  0		 ,  33SPMV		 , 0.000		 ,  0		 ,  33
AES		 , 0.000		 ,  0		 ,  34FFT		 , 1.545		 ,  3		 ,  34SHA		 , 0.000		 ,  0		 ,  34BFS		 , 0.000		 ,  0		 ,  34KMP		 , 0.000		 ,  0		 ,  34GEMM		 , 0.000		 ,  0		 ,  34SORT		 , 0.000		 ,  0		 ,  34SPMV		 , 0.000		 ,  0		 ,  34
AES		 , 0.000		 ,  0		 ,  35FFT		 , 1.500		 ,  3		 ,  35SHA		 , 0.000		 ,  0		 ,  35BFS		 , 0.000		 ,  0		 ,  35KMP		 , 0.000		 ,  0		 ,  35GEMM		 , 0.000		 ,  0		 ,  35SORT		 , 0.000		 ,  0		 ,  35SPMV		 , 0.000		 ,  0		 ,  35
AES		 , 0.000		 ,  0		 ,  36FFT		 , 1.457		 ,  3		 ,  36SHA		 , 0.000		 ,  0		 ,  36BFS		 , 0.000		 ,  0		 ,  36KMP		 , 0.000		 ,  0		 ,  36GEMM		 , 0.000		 ,  0		 ,  36SORT		 , 0.000		 ,  0		 ,  36SPMV		 , 0.000		 ,  0		 ,  36
AES		 , 0.000		 ,  0		 ,  37FFT		 , 1.417		 ,  3		 ,  37SHA		 , 0.000		 ,  0		 ,  37BFS		 , 0.000		 ,  0		 ,  37KMP		 , 0.000		 ,  0		 ,  37GEMM		 , 0.000		 ,  0		 ,  37SORT		 , 0.000		 ,  0		 ,  37SPMV		 , 0.000		 ,  0		 ,  37
AES		 , 0.000		 ,  0		 ,  38FFT		 , 1.378		 ,  3		 ,  38SHA		 , 0.000		 ,  0		 ,  38BFS		 , 0.000		 ,  0		 ,  38KMP		 , 0.000		 ,  0		 ,  38GEMM		 , 0.000		 ,  0		 ,  38SORT		 , 0.000		 ,  0		 ,  38SPMV		 , 0.000		 ,  0		 ,  38
AES		 , 0.000		 ,  0		 ,  39FFT		 , 1.342		 ,  3		 ,  39SHA		 , 0.000		 ,  0		 ,  39BFS		 , 0.000		 ,  0		 ,  39KMP		 , 0.000		 ,  0		 ,  39GEMM		 , 0.000		 ,  0		 ,  39SORT		 , 0.000		 ,  0		 ,  39SPMV		 , 0.000		 ,  0		 ,  39
AES		 , 0.000		 ,  0		 ,  40FFT		 , 1.308		 ,  3		 ,  40SHA		 , 0.000		 ,  0		 ,  40BFS		 , 0.000		 ,  0		 ,  40KMP		 , 0.000		 ,  0		 ,  40GEMM		 , 0.000		 ,  0		 ,  40SORT		 , 0.000		 ,  0		 ,  40SPMV		 , 0.000		 ,  0		 ,  40
