
Program Started
AES		 , nan		 ,  0		 , 0FFT		 , nan		 ,  0		 , 2SHA		 , nan		 ,  0		 , 0BFS		 , nan		 ,  0		 , 2KMP		 , nan		 ,  0		 , 0GEMM		 , nan		 ,  0		 , 3SORT		 , nan		 ,  0		 , 0SPMV		 , nan		 ,  0		 , 1
AES		 , 0.000		 ,  0		 , 0FFT		 , 0.000		 ,  0		 , 5SHA		 , 0.000		 ,  0		 , 1BFS		 , 0.000		 ,  0		 , 4KMP		 , 0.000		 ,  0		 , 0GEMM		 , 0.000		 ,  0		 , 4SORT		 , 0.000		 ,  0		 , 0SPMV		 , 0.000		 ,  0		 , 2
AES		 , 0.000		 ,  0		 , 3FFT		 , 0.000		 ,  0		 , 8SHA		 , 0.000		 ,  0		 , 2BFS		 , 0.000		 ,  0		 , 4KMP		 , 0.000		 ,  0		 , 0GEMM		 , 0.000		 ,  0		 , 5SORT		 , 0.000		 ,  0		 , 0SPMV		 , 0.000		 ,  0		 , 2
AES		 , 0.000		 ,  0		 , 6FFT		 , 0.000		 ,  0		 , 9SHA		 , 0.000		 ,  0		 , 4BFS		 , 0.000		 ,  0		 , 5KMP		 , 0.000		 ,  0		 , 0GEMM		 , 0.000		 ,  0		 , 5SORT		 , 0.000		 ,  0		 , 1SPMV		 , 0.000		 ,  0		 , 2
AES		 , 0.000		 ,  0		 , 7FFT		 , 0.000		 ,  0		 , 9SHA		 , 0.000		 ,  0		 , 7BFS		 , 0.000		 ,  0		 , 7KMP		 , 0.000		 ,  0		 , 1GEMM		 , 0.000		 ,  0		 , 5SORT		 , 0.000		 ,  0		 , 1SPMV		 , 0.000		 ,  0		 , 3
AES		 , 0.000		 ,  0		 , 7FFT		 , 0.000		 ,  0		 , 10SHA		 , 0.000		 ,  0		 , 10BFS		 , 0.000		 ,  0		 , 7KMP		 , 0.000		 ,  0		 , 1GEMM		 , 0.000		 ,  0		 , 6SORT		 , 0.000		 ,  0		 , 2SPMV		 , 0.000		 ,  0		 , 5
AES		 , 0.000		 ,  0		 , 7FFT		 , 0.000		 ,  0		 , 10SHA		 , 0.000		 ,  0		 , 10BFS		 , 0.000		 ,  0		 , 9KMP		 , 0.000		 ,  0		 , 2GEMM		 , 0.000		 ,  0		 , 8SORT		 , 0.000		 ,  0		 , 4SPMV		 , 0.000		 ,  0		 , 6
AES		 , 0.000		 ,  0		 , 7FFT		 , 0.000		 ,  0		 , 10SHA		 , 0.000		 ,  0		 , 11BFS		 , 0.000		 ,  0		 , 10KMP		 , 0.000		 ,  0		 , 4GEMM		 , 0.000		 ,  0		 , 8SORT		 , 0.000		 ,  0		 , 6SPMV		 , 0.000		 ,  0		 , 8
AES		 , 0.000		 ,  0		 , 7FFT		 , 0.000		 ,  0		 , 10SHA		 , 0.000		 ,  0		 , 12BFS		 , 0.000		 ,  0		 , 12KMP		 , 0.000		 ,  0		 , 5GEMM		 , 0.000		 ,  0		 , 9SORT		 , 0.000		 ,  0		 , 8SPMV		 , 0.000		 ,  0		 , 9
AES		 , 0.000		 ,  0		 , 7FFT		 , 0.000		 ,  0		 , 10SHA		 , 0.000		 ,  0		 , 16BFS		 , 0.000		 ,  0		 , 12KMP		 , 0.000		 ,  0		 , 6GEMM		 , 0.000		 ,  0		 , 11SORT		 , 0.000		 ,  0		 , 9SPMV		 , 0.000		 ,  0		 , 9
AES		 , 0.000		 ,  0		 , 8FFT		 , 0.000		 ,  0		 , 10SHA		 , 0.000		 ,  0		 , 18BFS		 , 0.000		 ,  0		 , 13KMP		 , 0.000		 ,  0		 , 8GEMM		 , 0.000		 ,  0		 , 11SORT		 , 0.000		 ,  0		 , 11SPMV		 , 0.000		 ,  0		 , 9
AES		 , 0.000		 ,  0		 , 9FFT		 , 0.000		 ,  0		 , 10SHA		 , 0.000		 ,  0		 , 19BFS		 , 0.000		 ,  0		 , 14KMP		 , 0.000		 ,  0		 , 9GEMM		 , 0.000		 ,  0		 , 11SORT		 , 0.000		 ,  0		 , 14SPMV		 , 0.000		 ,  0		 , 10
AES		 , 0.000		 ,  0		 , 9FFT		 , 0.000		 ,  0		 , 12SHA		 , 0.000		 ,  0		 , 20BFS		 , 0.000		 ,  0		 , 14KMP		 , 0.000		 ,  0		 , 9GEMM		 , 0.000		 ,  0		 , 12SORT		 , 0.000		 ,  0		 , 16SPMV		 , 0.000		 ,  0		 , 12
AES		 , 0.000		 ,  0		 , 12FFT		 , 0.000		 ,  0		 , 14SHA		 , 0.000		 ,  0		 , 21BFS		 , 0.000		 ,  0		 , 15KMP		 , 0.000		 ,  0		 , 9GEMM		 , 0.000		 ,  0		 , 13SORT		 , 0.000		 ,  0		 , 16SPMV		 , 0.000		 ,  0		 , 12
AES		 , 0.000		 ,  0		 , 12FFT		 , 0.000		 ,  0		 , 15SHA		 , 0.000		 ,  0		 , 23BFS		 , 0.000		 ,  0		 , 16KMP		 , 0.000		 ,  0		 , 11GEMM		 , 0.000		 ,  0		 , 14SORT		 , 0.000		 ,  0		 , 17SPMV		 , 0.000		 ,  0		 , 12
AES		 , 0.000		 ,  0		 , 12FFT		 , 0.000		 ,  0		 , 15SHA		 , 0.000		 ,  0		 , 25BFS		 , 0.000		 ,  0		 , 16KMP		 , 0.000		 ,  0		 , 14GEMM		 , 0.000		 ,  0		 , 16SORT		 , 0.000		 ,  0		 , 17SPMV		 , 0.000		 ,  0		 , 13
AES		 , 0.000		 ,  0		 , 12FFT		 , 0.000		 ,  0		 , 15SHA		 , 0.000		 ,  0		 , 27BFS		 , 0.000		 ,  0		 , 17KMP		 , 0.000		 ,  0		 , 16GEMM		 , 0.000		 ,  0		 , 17SORT		 , 0.000		 ,  0		 , 18SPMV		 , 0.000		 ,  0		 , 14
AES		 , 0.000		 ,  0		 , 14FFT		 , 0.000		 ,  0		 , 16SHA		 , 0.000		 ,  0		 , 28BFS		 , 0.000		 ,  0		 , 17KMP		 , 0.000		 ,  0		 , 18GEMM		 , 0.000		 ,  0		 , 17SORT		 , 0.000		 ,  0		 , 19SPMV		 , 0.000		 ,  0		 , 15
AES		 , 0.000		 ,  0		 , 15FFT		 , 0.000		 ,  0		 , 18SHA		 , 0.000		 ,  0		 , 29BFS		 , 0.000		 ,  0		 , 20KMP		 , 0.000		 ,  0		 , 19GEMM		 , 0.000		 ,  0		 , 17SORT		 , 0.000		 ,  0		 , 19SPMV		 , 0.000		 ,  0		 , 15
AES		 , 0.000		 ,  0		 , 16FFT		 , 0.000		 ,  0		 , 18SHA		 , 0.000		 ,  0		 , 30BFS		 , 0.000		 ,  0		 , 21KMP		 , 0.000		 ,  0		 , 19GEMM		 , 0.000		 ,  0		 , 18SORT		 , 0.000		 ,  0		 , 23SPMV		 , 0.000		 ,  0		 , 15
AES		 , 0.000		 ,  0		 , 20FFT		 , 0.000		 ,  0		 , 18SHA		 , 0.000		 ,  0		 , 32BFS		 , 0.000		 ,  0		 , 21KMP		 , 0.000		 ,  0		 , 20GEMM		 , 0.000		 ,  0		 , 18SORT		 , 0.000		 ,  0		 , 23SPMV		 , 0.000		 ,  0		 , 16
AES		 , 0.000		 ,  0		 , 21FFT		 , 0.000		 ,  0		 , 19SHA		 , 0.000		 ,  0		 , 34BFS		 , 0.000		 ,  0		 , 22KMP		 , 0.000		 ,  0		 , 20GEMM		 , 0.000		 ,  0		 , 19SORT		 , 0.000		 ,  0		 , 24SPMV		 , 0.000		 ,  0		 , 17
AES		 , 0.000		 ,  0		 , 21FFT		 , 0.000		 ,  0		 , 19SHA		 , 0.000		 ,  0		 , 36BFS		 , 0.000		 ,  0		 , 23KMP		 , 0.000		 ,  0		 , 22GEMM		 , 0.000		 ,  0		 , 20SORT		 , 0.000		 ,  0		 , 26SPMV		 , 0.000		 ,  0		 , 17
AES		 , 0.000		 ,  0		 , 22FFT		 , 0.000		 ,  0		 , 19SHA		 , 0.000		 ,  0		 , 36BFS		 , 0.000		 ,  0		 , 24KMP		 , 0.000		 ,  0		 , 24GEMM		 , 0.000		 ,  0		 , 21SORT		 , 0.000		 ,  0		 , 26SPMV		 , 0.000		 ,  0		 , 20
AES		 , 0.000		 ,  0		 , 22FFT		 , 0.000		 ,  0		 , 20SHA		 , 0.000		 ,  0		 , 37BFS		 , 0.000		 ,  0		 , 25KMP		 , 0.000		 ,  0		 , 25GEMM		 , 0.000		 ,  0		 , 23SORT		 , 0.000		 ,  0		 , 27SPMV		 , 0.000		 ,  0		 , 21
AES		 , 0.000		 ,  0		 , 22FFT		 , 0.000		 ,  0		 , 22SHA		 , 0.000		 ,  0		 , 38BFS		 , 0.000		 ,  0		 , 25KMP		 , 0.000		 ,  0		 , 26GEMM		 , 0.000		 ,  0		 , 26SORT		 , 0.000		 ,  0		 , 28SPMV		 , 0.000		 ,  0		 , 21
AES		 , 0.000		 ,  0		 , 23FFT		 , 0.000		 ,  0		 , 24SHA		 , 0.000		 ,  0		 , 39BFS		 , 0.000		 ,  0		 , 26KMP		 , 0.000		 ,  0		 , 27GEMM		 , 0.000		 ,  0		 , 26SORT		 , 0.000		 ,  0		 , 29SPMV		 , 0.000		 ,  0		 , 22
AES		 , 0.000		 ,  0		 , 24FFT		 , 0.000		 ,  0		 , 25SHA		 , 0.000		 ,  0		 , 42BFS		 , 0.000		 ,  0		 , 27KMP		 , 0.000		 ,  0		 , 27GEMM		 , 0.000		 ,  0		 , 28SORT		 , 0.000		 ,  0		 , 29SPMV		 , 0.000		 ,  0		 , 22
AES		 , 0.000		 ,  0		 , 25FFT		 , 0.000		 ,  0		 , 25SHA		 , 0.000		 ,  0		 , 44BFS		 , 0.000		 ,  0		 , 27KMP		 , 0.000		 ,  0		 , 27GEMM		 , 0.000		 ,  0		 , 30SORT		 , 0.000		 ,  0		 , 31SPMV		 , 0.000		 ,  0		 , 23
AES		 , 0.000		 ,  0		 , 25FFT		 , 0.000		 ,  0		 , 27SHA		 , 0.000		 ,  0		 , 45BFS		 , 0.000		 ,  0		 , 29KMP		 , 0.000		 ,  0		 , 28GEMM		 , 0.000		 ,  0		 , 31SORT		 , 0.000		 ,  0		 , 31SPMV		 , 0.000		 ,  0		 , 24
AES		 , 0.000		 ,  0		 , 27FFT		 , 0.000		 ,  0		 , 29SHA		 , 0.000		 ,  0		 , 46BFS		 , 0.000		 ,  0		 , 30KMP		 , 0.000		 ,  0		 , 28GEMM		 , 0.000		 ,  0		 , 32SORT		 , 0.000		 ,  0		 , 32SPMV		 , 0.000		 ,  0		 , 24
AES		 , 0.000		 ,  0		 , 28FFT		 , 0.000		 ,  0		 , 29SHA		 , 0.000		 ,  0		 , 47BFS		 , 0.000		 ,  0		 , 30KMP		 , 0.000		 ,  0		 , 28GEMM		 , 0.000		 ,  0		 , 33SORT		 , 0.000		 ,  0		 , 34SPMV		 , 0.000		 ,  0		 , 27
AES		 , 0.000		 ,  0		 , 29FFT		 , 0.000		 ,  0		 , 29SHA		 , 0.000		 ,  0		 , 49BFS		 , 0.000		 ,  0		 , 32KMP		 , 0.000		 ,  0		 , 28GEMM		 , 0.000		 ,  0		 , 33SORT		 , 0.000		 ,  0		 , 36SPMV		 , 0.000		 ,  0		 , 28
AES		 , 0.000		 ,  0		 , 31FFT		 , 0.000		 ,  0		 , 29SHA		 , 0.000		 ,  0		 , 50BFS		 , 0.000		 ,  0		 , 32KMP		 , 0.000		 ,  0		 , 29GEMM		 , 0.000		 ,  0		 , 34SORT		 , 0.000		 ,  0		 , 37SPMV		 , 0.000		 ,  0		 , 30
AES		 , 0.000		 ,  0		 , 31FFT		 , 0.000		 ,  0		 , 31SHA		 , 0.000		 ,  0		 , 51BFS		 , 0.000		 ,  0		 , 32KMP		 , 0.000		 ,  0		 , 31GEMM		 , 0.000		 ,  0		 , 36SORT		 , 0.000		 ,  0		 , 37SPMV		 , 0.000		 ,  0		 , 31
AES		 , 0.000		 ,  0		 , 33FFT		 , 0.000		 ,  0		 , 31SHA		 , 0.000		 ,  0		 , 51BFS		 , 0.000		 ,  0		 , 34KMP		 , 0.000		 ,  0		 , 31GEMM		 , 0.000		 ,  0		 , 38SORT		 , 0.000		 ,  0		 , 38SPMV		 , 0.000		 ,  0		 , 32
AES		 , 0.000		 ,  0		 , 33FFT		 , 0.000		 ,  0		 , 32SHA		 , 0.000		 ,  0		 , 52BFS		 , 0.000		 ,  0		 , 35KMP		 , 0.000		 ,  0		 , 33GEMM		 , 0.000		 ,  0		 , 40SORT		 , 0.000		 ,  0		 , 39SPMV		 , 0.000		 ,  0		 , 32
AES		 , 0.000		 ,  0		 , 35FFT		 , 0.000		 ,  0		 , 33SHA		 , 0.000		 ,  0		 , 52BFS		 , 0.000		 ,  0		 , 36KMP		 , 0.000		 ,  0		 , 34GEMM		 , 0.000		 ,  0		 , 42SORT		 , 0.000		 ,  0		 , 39SPMV		 , 0.000		 ,  0		 , 33
AES		 , 0.000		 ,  0		 , 35FFT		 , 0.000		 ,  0		 , 35SHA		 , 0.000		 ,  0		 , 52BFS		 , 0.000		 ,  0		 , 37KMP		 , 0.000		 ,  0		 , 35GEMM		 , 0.000		 ,  0		 , 44SORT		 , 0.000		 ,  0		 , 41SPMV		 , 0.000		 ,  0		 , 33
AES		 , 0.000		 ,  0		 , 36FFT		 , 0.000		 ,  0		 , 37SHA		 , 0.000		 ,  0		 , 52BFS		 , 0.000		 ,  0		 , 38KMP		 , 0.000		 ,  0		 , 35GEMM		 , 0.000		 ,  0		 , 47SORT		 , 0.000		 ,  0		 , 41SPMV		 , 0.000		 ,  0		 , 34
AES		 , 0.000		 ,  0		 , 36FFT		 , 0.000		 ,  0		 , 39SHA		 , 0.000		 ,  0		 , 53BFS		 , 0.000		 ,  0		 , 39KMP		 , 0.000		 ,  0		 , 37GEMM		 , 0.000		 ,  0		 , 48SORT		 , 0.000		 ,  0		 , 42SPMV		 , 0.000		 ,  0		 , 34
AES		 , 0.000		 ,  0		 , 36FFT		 , 0.000		 ,  0		 , 41SHA		 , 0.000		 ,  0		 , 56BFS		 , 0.000		 ,  0		 , 41KMP		 , 0.000		 ,  0		 , 37GEMM		 , 0.000		 ,  0		 , 48SORT		 , 0.000		 ,  0		 , 42SPMV		 , 0.000		 ,  0		 , 35
AES		 , 0.000		 ,  0		 , 38FFT		 , 0.000		 ,  0		 , 41SHA		 , 0.000		 ,  0		 , 56BFS		 , 0.000		 ,  0		 , 43KMP		 , 0.000		 ,  0		 , 37GEMM		 , 0.000		 ,  0		 , 50SORT		 , 0.000		 ,  0		 , 43SPMV		 , 0.000		 ,  0		 , 36
AES		 , 0.000		 ,  0		 , 39FFT		 , 0.000		 ,  0		 , 42SHA		 , 0.000		 ,  0		 , 58BFS		 , 0.000		 ,  0		 , 43KMP		 , 0.000		 ,  0		 , 37GEMM		 , 0.000		 ,  0		 , 53SORT		 , 0.000		 ,  0		 , 44SPMV		 , 0.000		 ,  0		 , 36
AES		 , 0.000		 ,  0		 , 39FFT		 , 0.000		 ,  0		 , 45SHA		 , 0.000		 ,  0		 , 59BFS		 , 0.000		 ,  0		 , 44KMP		 , 0.000		 ,  0		 , 38GEMM		 , 0.000		 ,  0		 , 53SORT		 , 0.000		 ,  0		 , 44SPMV		 , 0.000		 ,  0		 , 38
AES		 , 0.000		 ,  0		 , 40FFT		 , 0.000		 ,  0		 , 46SHA		 , 0.000		 ,  0		 , 60BFS		 , 0.000		 ,  0		 , 44KMP		 , 0.000		 ,  0		 , 39GEMM		 , 0.000		 ,  0		 , 54SORT		 , 0.000		 ,  0		 , 45SPMV		 , 0.000		 ,  0		 , 40
AES		 , 0.000		 ,  0		 , 40FFT		 , 0.000		 ,  0		 , 49SHA		 , 0.000		 ,  0		 , 61BFS		 , 0.000		 ,  0		 , 45KMP		 , 0.000		 ,  0		 , 39GEMM		 , 0.000		 ,  0		 , 54SORT		 , 0.000		 ,  0		 , 46SPMV		 , 0.000		 ,  0		 , 42
AES		 , 0.000		 ,  0		 , 43FFT		 , 0.000		 ,  0		 , 50SHA		 , 0.000		 ,  0		 , 62BFS		 , 0.000		 ,  0		 , 45KMP		 , 0.000		 ,  0		 , 39GEMM		 , 0.000		 ,  0		 , 55SORT		 , 0.000		 ,  0		 , 48SPMV		 , 0.000		 ,  0		 , 42
