
Program Started
AES		 , nan		 ,  0		 ,   1FFT		 , nan		 ,  0		 ,   1SHA		 , nan		 ,  0		 ,   1BFS		 , nan		 ,  0		 ,   1KMP		 , nan		 ,  0		 ,   1GEMM		 , nan		 ,  0		 ,   1SORT		 , nan		 ,  0		 ,   1SPMV		 , nan		 ,  0		 ,   1
AES		 , 1.091		 , 24		 ,  12FFT		 , 1.380		 ,  5		 ,  12SHA		 , 0.935		 ,  6		 ,  12BFS		 , 1.169		 ,  2		 ,  12KMP		 , 1.578		 , 18		 ,  12GEMM		 , 1.273		 ,  1		 ,  12SORT		 , 1.091		 , 24		 ,  12SPMV		 , 1.364		 ,  6		 ,  12
AES		 , 1.167		 , 28		 ,  13FFT		 , 1.265		 ,  5		 ,  13SHA		 , 1.286		 ,  9		 ,  13BFS		 , 1.071		 ,  2		 ,  13KMP		 , 1.446		 , 18		 ,  13GEMM		 , 2.333		 ,  2		 ,  13SORT		 , 1.000		 , 24		 ,  13SPMV		 , 1.250		 ,  6		 ,  13
AES		 , 1.077		 , 28		 ,  14FFT		 , 1.168		 ,  5		 ,  14SHA		 , 1.187		 ,  9		 ,  14BFS		 , 0.989		 ,  2		 ,  14KMP		 , 1.335		 , 18		 ,  14GEMM		 , 2.154		 ,  2		 ,  14SORT		 , 1.154		 , 30		 ,  14SPMV		 , 1.154		 ,  6		 ,  14
AES		 , 1.143		 , 32		 ,  15FFT		 , 1.084		 ,  5		 ,  15SHA		 , 1.102		 ,  9		 ,  15BFS		 , 0.918		 ,  2		 ,  15KMP		 , 1.240		 , 18		 ,  15GEMM		 , 2.000		 ,  2		 ,  15SORT		 , 1.214		 , 34		 ,  15SPMV		 , 1.071		 ,  6		 ,  15
AES		 , 1.200		 , 36		 ,  16FFT		 , 2.024		 , 10		 ,  16SHA		 , 1.029		 ,  9		 ,  16BFS		 , 0.857		 ,  2		 ,  16KMP		 , 1.157		 , 18		 ,  16GEMM		 , 1.867		 ,  2		 ,  16SORT		 , 1.133		 , 34		 ,  16SPMV		 , 1.333		 ,  8		 ,  16
AES		 , 1.125		 , 36		 ,  17FFT		 , 1.897		 , 10		 ,  17SHA		 , 1.286		 , 12		 ,  17BFS		 , 1.205		 ,  3		 ,  17KMP		 , 1.085		 , 18		 ,  17GEMM		 , 1.750		 ,  2		 ,  17SORT		 , 1.125		 , 36		 ,  17SPMV		 , 1.250		 ,  8		 ,  17
AES		 , 1.176		 , 40		 ,  18FFT		 , 1.786		 , 10		 ,  18SHA		 , 1.210		 , 12		 ,  18BFS		 , 1.134		 ,  3		 ,  18KMP		 , 1.361		 , 24		 ,  18GEMM		 , 1.647		 ,  2		 ,  18SORT		 , 1.059		 , 36		 ,  18SPMV		 , 1.176		 ,  8		 ,  18
AES		 , 1.111		 , 40		 ,  19FFT		 , 1.687		 , 10		 ,  19SHA		 , 1.143		 , 12		 ,  19BFS		 , 1.071		 ,  3		 ,  19KMP		 , 1.286		 , 24		 ,  19GEMM		 , 1.556		 ,  2		 ,  19SORT		 , 1.167		 , 42		 ,  19SPMV		 , 1.111		 ,  8		 ,  19
AES		 , 1.158		 , 44		 ,  20FFT		 , 1.598		 , 10		 ,  20SHA		 , 1.083		 , 12		 ,  20BFS		 , 1.015		 ,  3		 ,  20KMP		 , 1.218		 , 24		 ,  20GEMM		 , 1.474		 ,  2		 ,  20SORT		 , 1.158		 , 44		 ,  20SPMV		 , 1.316		 , 10		 ,  20
AES		 , 1.200		 , 48		 ,  21FFT		 , 1.518		 , 10		 ,  21SHA		 , 1.029		 , 12		 ,  21BFS		 , 0.964		 ,  3		 ,  21KMP		 , 1.302		 , 27		 ,  21GEMM		 , 1.400		 ,  2		 ,  21SORT		 , 1.150		 , 46		 ,  21SPMV		 , 1.250		 , 10		 ,  21
AES		 , 1.143		 , 48		 ,  22FFT		 , 1.446		 , 10		 ,  22SHA		 , 1.224		 , 15		 ,  22BFS		 , 0.918		 ,  3		 ,  22KMP		 , 1.378		 , 30		 ,  22GEMM		 , 1.333		 ,  2		 ,  22SORT		 , 1.143		 , 48		 ,  22SPMV		 , 1.190		 , 10		 ,  22
AES		 , 1.182		 , 52		 ,  23FFT		 , 1.380		 , 10		 ,  23SHA		 , 1.169		 , 15		 ,  23BFS		 , 0.877		 ,  3		 ,  23KMP		 , 1.315		 , 30		 ,  23GEMM		 , 1.273		 ,  2		 ,  23SORT		 , 1.182		 , 52		 ,  23SPMV		 , 1.136		 , 10		 ,  23
AES		 , 1.217		 , 56		 ,  24FFT		 , 1.320		 , 10		 ,  24SHA		 , 1.118		 , 15		 ,  24BFS		 , 0.839		 ,  3		 ,  24KMP		 , 1.258		 , 30		 ,  24GEMM		 , 1.217		 ,  2		 ,  24SORT		 , 1.174		 , 54		 ,  24SPMV		 , 1.304		 , 12		 ,  24
AES		 , 1.167		 , 56		 ,  25FFT		 , 1.265		 , 10		 ,  25SHA		 , 1.071		 , 15		 ,  25BFS		 , 0.804		 ,  3		 ,  25KMP		 , 1.326		 , 33		 ,  25GEMM		 , 1.167		 ,  2		 ,  25SORT		 , 1.208		 , 58		 ,  25SPMV		 , 1.250		 , 12		 ,  25
AES		 , 1.200		 , 60		 ,  26FFT		 , 1.214		 , 10		 ,  26SHA		 , 1.029		 , 15		 ,  26BFS		 , 0.771		 ,  3		 ,  26KMP		 , 1.273		 , 33		 ,  26GEMM		 , 1.680		 ,  3		 ,  26SORT		 , 1.200		 , 60		 ,  26SPMV		 , 1.200		 , 12		 ,  26

Program Finished
