
Program Started
AES		 , nan		 ,  0		 ,   1FFT		 , nan		 ,  0		 ,   1SHA		 , nan		 ,  0		 ,   1BFS		 , nan		 ,  0		 ,   1KMP		 , nan		 ,  0		 ,   1GEMM		 , nan		 ,  0		 ,   1SORT		 , nan		 ,  0		 ,   1SPMV		 , nan		 ,  0		 ,   1
AES		 , 2.000		 ,  4		 ,   2FFT		 , 15.179		 ,  5		 ,   2SHA		 , 5.143		 ,  3		 ,   2BFS		 , 0.000		 ,  0		 ,   2KMP		 , 0.000		 ,  0		 ,   2GEMM		 , 0.000		 ,  0		 ,   2SORT		 , 0.000		 ,  0		 ,   2SPMV		 , 0.000		 ,  0		 ,   2
AES		 , 1.000		 ,  4		 ,   3FFT		 , 7.589		 ,  5		 ,   3SHA		 , 2.571		 ,  3		 ,   3BFS		 , 3.214		 ,  1		 ,   3KMP		 , 2.893		 ,  6		 ,   3GEMM		 , 0.000		 ,  0		 ,   3SORT		 , 0.000		 ,  0		 ,   3SPMV		 , 0.000		 ,  0		 ,   3
AES		 , 0.667		 ,  4		 ,   4FFT		 , 5.060		 ,  5		 ,   4SHA		 , 1.714		 ,  3		 ,   4BFS		 , 4.286		 ,  2		 ,   4KMP		 , 1.929		 ,  6		 ,   4GEMM		 , 0.000		 ,  0		 ,   4SORT		 , 0.667		 ,  4		 ,   4SPMV		 , 0.000		 ,  0		 ,   4
AES		 , 1.000		 ,  8		 ,   5FFT		 , 3.795		 ,  5		 ,   5SHA		 , 1.286		 ,  3		 ,   5BFS		 , 3.214		 ,  2		 ,   5KMP		 , 1.446		 ,  6		 ,   5GEMM		 , 3.500		 ,  1		 ,   5SORT		 , 0.500		 ,  4		 ,   5SPMV		 , 1.250		 ,  2		 ,   5
AES		 , 0.800		 ,  8		 ,   6FFT		 , 3.036		 ,  5		 ,   6SHA		 , 1.029		 ,  3		 ,   6BFS		 , 2.571		 ,  2		 ,   6KMP		 , 1.736		 ,  9		 ,   6GEMM		 , 2.800		 ,  1		 ,   6SORT		 , 0.800		 ,  8		 ,   6SPMV		 , 1.000		 ,  2		 ,   6
AES		 , 1.000		 , 12		 ,   7FFT		 , 2.530		 ,  5		 ,   7SHA		 , 0.857		 ,  3		 ,   7BFS		 , 2.143		 ,  2		 ,   7KMP		 , 1.446		 ,  9		 ,   7GEMM		 , 2.333		 ,  1		 ,   7SORT		 , 1.000		 , 12		 ,   7SPMV		 , 0.833		 ,  2		 ,   7
AES		 , 1.143		 , 16		 ,   8FFT		 , 2.168		 ,  5		 ,   8SHA		 , 0.735		 ,  3		 ,   8BFS		 , 1.837		 ,  2		 ,   8KMP		 , 1.653		 , 12		 ,   8GEMM		 , 2.000		 ,  1		 ,   8SORT		 , 0.857		 , 12		 ,   8SPMV		 , 1.429		 ,  4		 ,   8
AES		 , 1.000		 , 16		 ,   9FFT		 , 1.897		 ,  5		 ,   9SHA		 , 1.286		 ,  6		 ,   9BFS		 , 1.607		 ,  2		 ,   9KMP		 , 1.446		 , 12		 ,   9GEMM		 , 1.750		 ,  1		 ,   9SORT		 , 1.000		 , 16		 ,   9SPMV		 , 1.250		 ,  4		 ,   9
AES		 , 1.111		 , 20		 ,  10FFT		 , 1.687		 ,  5		 ,  10SHA		 , 1.143		 ,  6		 ,  10BFS		 , 1.429		 ,  2		 ,  10KMP		 , 1.607		 , 15		 ,  10GEMM		 , 1.556		 ,  1		 ,  10SORT		 , 1.000		 , 18		 ,  10SPMV		 , 1.111		 ,  4		 ,  10
AES		 , 1.000		 , 20		 ,  11FFT		 , 1.518		 ,  5		 ,  11SHA		 , 1.029		 ,  6		 ,  11BFS		 , 1.286		 ,  2		 ,  11KMP		 , 1.446		 , 15		 ,  11GEMM		 , 1.400		 ,  1		 ,  11SORT		 , 1.200		 , 24		 ,  11SPMV		 , 1.000		 ,  4		 ,  11
